BP-02P0, Time, 2017/07/12 04:54:37
BP-02P0, Operator, Smith 
BP-02P0, Lamp, 255 
BP-02P0, Slit,0.0  
BP-02P0, Scan From, 850.0nm
BP-02P0, Scan To, 390.0nm
BP-02P0, Scan Step, 1.0nm
BP-02P0, Sample Filter, 11
BP-02P0, memo,  
BP-02P0, 462.0, 0.0155, 96.49
BP-02P0, 463.0, 0.0154, 96.52
BP-02P0, 464.0, 0.0152, 96.56
BP-02P0, 465.0, 0.0150, 96.60
BP-02P0, 466.0, 0.0148, 96.65
BP-02P0, 467.0, 0.0146, 96.69
BP-02P0, 468.0, 0.0145, 96.73
BP-02P0, 469.0, 0.0143, 96.77
BP-02P0, 470.0, 0.0141, 96.81
BP-02P0, 471.0, 0.0140, 96.83
BP-02P0, 472.0, 0.0137, 96.89
BP-02P0, 473.0, 0.0136, 96.91
BP-02P0, 474.0, 0.0135, 96.94
BP-02P0, 475.0, 0.0133, 96.98
BP-02P0, 476.0, 0.0132, 97.01
BP-02P0, 477.0, 0.0130, 97.06
BP-02P0, 478.0, 0.0128, 97.09
BP-02P0, 479.0, 0.0128, 97.10
BP-02P0, 480.0, 0.0126, 97.14
BP-02P0, 481.0, 0.0125, 97.16
BP-02P0, 482.0, 0.0123, 97.21
BP-02P0, 483.0, 0.0122, 97.23
BP-02P0, 484.0, 0.0121, 97.26
BP-02P0, 485.0, 0.0119, 97.30
BP-02P0, 486.0, 0.0118, 97.31
BP-02P0, 487.0, 0.0117, 97.35
BP-02P0, 488.0, 0.0116, 97.37
BP-02P0, 489.0, 0.0115, 97.39
BP-02P0, 490.0, 0.0113, 97.43
BP-02P0, 491.0, 0.0112, 97.44
BP-02P0, 492.0, 0.0111, 97.48
BP-02P0, 493.0, 0.0110, 97.49
BP-02P0, 494.0, 0.0109, 97.53
BP-02P0, 495.0, 0.0108, 97.55
BP-02P0, 496.0, 0.0107, 97.56
BP-02P0, 497.0, 0.0106, 97.59
BP-02P0, 498.0, 0.0105, 97.62
BP-02P0, 499.0, 0.0103, 97.65
BP-02P0, 500.0, 0.0102, 97.68
BP-02P0, 501.0, 0.0102, 97.68
BP-02P0, 502.0, 0.0101, 97.70
BP-02P0, 503.0, 0.0100, 97.73
BP-02P0, 504.0, 0.0098, 97.77
BP-02P0, 505.0, 0.0097, 97.80
BP-02P0, 506.0, 0.0096, 97.81
BP-02P0, 507.0, 0.0095, 97.84
BP-02P0, 508.0, 0.0095, 97.83
BP-02P0, 509.0, 0.0094, 97.86
BP-02P0, 510.0, 0.0094, 97.87
BP-02P0, 511.0, 0.0091, 97.92
BP-02P0, 512.0, 0.0091, 97.93
BP-02P0, 513.0, 0.0090, 97.94
BP-02P0, 514.0, 0.0090, 97.95
BP-02P0, 515.0, 0.0089, 97.97
BP-02P0, 516.0, 0.0088, 97.99
BP-02P0, 517.0, 0.0087, 98.01
BP-02P0, 518.0, 0.0086, 98.03
BP-02P0, 519.0, 0.0086, 98.05
BP-02P0, 520.0, 0.0085, 98.07
BP-02P0, 521.0, 0.0084, 98.08
BP-02P0, 522.0, 0.0084, 98.10
BP-02P0, 523.0, 0.0083, 98.11
BP-02P0, 524.0, 0.0081, 98.15
BP-02P0, 525.0, 0.0081, 98.14
BP-02P0, 526.0, 0.0080, 98.17
BP-02P0, 527.0, 0.0079, 98.20
BP-02P0, 528.0, 0.0077, 98.23
BP-02P0, 529.0, 0.0077, 98.24
BP-02P0, 530.0, 0.0077, 98.25
BP-02P0, 531.0, 0.0077, 98.25
BP-02P0, 532.0, 0.0076, 98.26
BP-02P0, 533.0, 0.0076, 98.28
BP-02P0, 534.0, 0.0074, 98.31
BP-02P0, 535.0, 0.0075, 98.28
BP-02P0, 536.0, 0.0074, 98.32
BP-02P0, 537.0, 0.0073, 98.33
BP-02P0, 538.0, 0.0073, 98.34
BP-02P0, 539.0, 0.0071, 98.37
BP-02P0, 540.0, 0.0073, 98.34
BP-02P0, 541.0, 0.0070, 98.39
BP-02P0, 542.0, 0.0070, 98.40
BP-02P0, 543.0, 0.0070, 98.40
BP-02P0, 544.0, 0.0069, 98.42
BP-02P0, 545.0, 0.0069, 98.42
BP-02P0, 546.0, 0.0067, 98.46
BP-02P0, 547.0, 0.0068, 98.44
BP-02P0, 548.0, 0.0066, 98.49
BP-02P0, 549.0, 0.0066, 98.49
BP-02P0, 550.0, 0.0065, 98.52
BP-02P0, 551.0, 0.0063, 98.55
BP-02P0, 552.0, 0.0064, 98.54
BP-02P0, 553.0, 0.0063, 98.57
BP-02P0, 554.0, 0.0062, 98.59
BP-02P0, 555.0, 0.0061, 98.60
BP-02P0, 556.0, 0.0061, 98.61
BP-02P0, 557.0, 0.0060, 98.63
BP-02P0, 558.0, 0.0060, 98.62
BP-02P0, 559.0, 0.0060, 98.62
BP-02P0, 560.0, 0.0060, 98.63
BP-02P0, 561.0, 0.0059, 98.65
BP-02P0, 562.0, 0.0058, 98.67
BP-02P0, 563.0, 0.0057, 98.69
BP-02P0, 564.0, 0.0057, 98.69
BP-02P0, 565.0, 0.0056, 98.72
BP-02P0, 566.0, 0.0055, 98.73
BP-02P0, 567.0, 0.0055, 98.74
BP-02P0, 568.0, 0.0056, 98.73
BP-02P0, 569.0, 0.0055, 98.74
BP-02P0, 570.0, 0.0054, 98.76
BP-02P0, 571.0, 0.0054, 98.77
BP-02P0, 572.0, 0.0052, 98.80
BP-02P0, 573.0, 0.0054, 98.77
BP-02P0, 574.0, 0.0052, 98.82
BP-02P0, 575.0, 0.0052, 98.81
BP-02P0, 576.0, 0.0052, 98.81
BP-02P0, 577.0, 0.0051, 98.83
BP-02P0, 578.0, 0.0051, 98.84
BP-02P0, 579.0, 0.0047, 98.93
BP-02P0, 580.0, 0.0050, 98.86
BP-02P0, 581.0, 0.0048, 98.89
BP-02P0, 582.0, 0.0049, 98.89
BP-02P0, 583.0, 0.0049, 98.88
BP-02P0, 584.0, 0.0048, 98.90
BP-02P0, 585.0, 0.0049, 98.89
BP-02P0, 586.0, 0.0048, 98.89
BP-02P0, 587.0, 0.0049, 98.88
BP-02P0, 588.0, 0.0048, 98.90
BP-02P0, 589.0, 0.0049, 98.88
BP-02P0, 590.0, 0.0048, 98.89
BP-02P0, 591.0, 0.0049, 98.88
BP-02P0, 592.0, 0.0047, 98.92
BP-02P0, 593.0, 0.0047, 98.91
BP-02P0, 594.0, 0.0047, 98.92
BP-02P0, 595.0, 0.0047, 98.93
BP-02P0, 596.0, 0.0046, 98.94
BP-02P0, 597.0, 0.0046, 98.94
BP-02P0, 598.0, 0.0047, 98.93
BP-02P0, 599.0, 0.0046, 98.96
BP-02P0, 600.0, 0.0044, 98.98
BP-02P0, 601.0, 0.0046, 98.95
BP-02P0, 602.0, 0.0044, 98.99
BP-02P0, 603.0, 0.0044, 99.00
BP-02P0, 604.0, 0.0043, 99.01
BP-02P0, 605.0, 0.0042, 99.03
BP-02P0, 606.0, 0.0042, 99.03
BP-02P0, 607.0, 0.0041, 99.06
BP-02P0, 608.0, 0.0041, 99.05
BP-02P0, 609.0, 0.0042, 99.05
BP-02P0, 610.0, 0.0042, 99.04
BP-02P0, 611.0, 0.0040, 99.07
BP-02P0, 612.0, 0.0040, 99.08
BP-02P0, 613.0, 0.0040, 99.09
BP-02P0, 614.0, 0.0040, 99.08
BP-02P0, 615.0, 0.0038, 99.12
BP-02P0, 616.0, 0.0038, 99.13
BP-02P0, 617.0, 0.0038, 99.13
BP-02P0, 618.0, 0.0037, 99.15
BP-02P0, 619.0, 0.0037, 99.15
BP-02P0, 620.0, 0.0037, 99.16
BP-02P0, 621.0, 0.0036, 99.17
BP-02P0, 622.0, 0.0036, 99.17
BP-02P0, 623.0, 0.0036, 99.18
BP-02P0, 624.0, 0.0036, 99.18
BP-02P0, 625.0, 0.0036, 99.18
BP-02P0, 626.0, 0.0035, 99.19
BP-02P0, 627.0, 0.0036, 99.18
BP-02P0, 628.0, 0.0035, 99.20
BP-02P0, 629.0, 0.0035, 99.20
BP-02P0, 630.0, 0.0035, 99.21
BP-02P0, 631.0, 0.0034, 99.22
BP-02P0, 632.0, 0.0034, 99.21
BP-02P0, 633.0, 0.0034, 99.22
BP-02P0, 634.0, 0.0034, 99.23
BP-02P0, 635.0, 0.0034, 99.23
BP-02P0, 636.0, 0.0034, 99.23
BP-02P0, 637.0, 0.0034, 99.23
BP-02P0, 638.0, 0.0033, 99.25
BP-02P0, 639.0, 0.0033, 99.25
BP-02P0, 640.0, 0.0032, 99.27
BP-02P0, 641.0, 0.0031, 99.28
BP-02P0, 642.0, 0.0031, 99.28
BP-02P0, 643.0, 0.0031, 99.29
BP-02P0, 644.0, 0.0031, 99.28
BP-02P0, 645.0, 0.0031, 99.29
BP-02P0, 646.0, 0.0031, 99.28
BP-02P0, 647.0, 0.0030, 99.31
BP-02P0, 648.0, 0.0030, 99.31
BP-02P0, 649.0, 0.0030, 99.31
BP-02P0, 650.0, 0.0030, 99.32
BP-02P0, 651.0, 0.0030, 99.31
BP-02P0, 652.0, 0.0029, 99.33
BP-02P0, 653.0, 0.0029, 99.32
BP-02P0, 654.0, 0.0030, 99.31
BP-02P0, 655.0, 0.0029, 99.33
BP-02P0, 656.0, 0.0029, 99.33
BP-02P0, 657.0, 0.0029, 99.34
BP-02P0, 658.0, 0.0029, 99.35
BP-02P0, 659.0, 0.0028, 99.35
BP-02P0, 660.0, 0.0028, 99.36
BP-02P0, 661.0, 0.0028, 99.35
BP-02P0, 662.0, 0.0028, 99.35
BP-02P0, 663.0, 0.0028, 99.36
BP-02P0, 664.0, 0.0027, 99.37
BP-02P0, 665.0, 0.0027, 99.37
BP-02P0, 666.0, 0.0027, 99.38
BP-02P0, 667.0, 0.0027, 99.39
BP-02P0, 668.0, 0.0027, 99.38
BP-02P0, 669.0, 0.0027, 99.37
BP-02P0, 670.0, 0.0027, 99.38
BP-02P0, 671.0, 0.0027, 99.37
BP-02P0, 672.0, 0.0027, 99.37
BP-02P0, 673.0, 0.0027, 99.38
BP-02P0, 674.0, 0.0026, 99.40
BP-02P0, 675.0, 0.0026, 99.40
BP-02P0, 676.0, 0.0027, 99.39
BP-02P0, 677.0, 0.0026, 99.40
BP-02P0, 678.0, 0.0025, 99.42
BP-02P0, 679.0, 0.0025, 99.43
BP-02P0, 680.0, 0.0025, 99.43
BP-02P0, 681.0, 0.0025, 99.44
BP-02P0, 682.0, 0.0024, 99.44
BP-02P0, 683.0, 0.0024, 99.45
BP-02P0, 684.0, 0.0024, 99.45
BP-02P0, 685.0, 0.0024, 99.45
BP-02P0, 686.0, 0.0024, 99.46
BP-02P0, 687.0, 0.0024, 99.46
BP-02P0, 688.0, 0.0023, 99.47
BP-02P0, 689.0, 0.0024, 99.46
BP-02P0, 690.0, 0.0023, 99.47
BP-02P0, 691.0, 0.0023, 99.47
BP-02P0, 692.0, 0.0023, 99.46
BP-02P0, 693.0, 0.0023, 99.48
BP-02P0, 694.0, 0.0023, 99.48
BP-02P0, 695.0, 0.0022, 99.50
BP-02P0, 696.0, 0.0022, 99.50
BP-02P0, 697.0, 0.0021, 99.51
BP-02P0, 698.0, 0.0021, 99.51
BP-02P0, 699.0, 0.0021, 99.52
BP-02P0, 700.0, 0.0021, 99.51
BP-02P0, 701.0, 0.0021, 99.52
BP-02P0, 702.0, 0.0021, 99.52
BP-02P0, 703.0, 0.0021, 99.51
BP-02P0, 704.0, 0.0021, 99.51
BP-02P0, 705.0, 0.0020, 99.53
BP-02P0, 706.0, 0.0021, 99.52
BP-02P0, 707.0, 0.0021, 99.53
BP-02P0, 708.0, 0.0021, 99.52
BP-02P0, 709.0, 0.0020, 99.53
BP-02P0, 710.0, 0.0020, 99.54
BP-02P0, 711.0, 0.0020, 99.54
BP-02P0, 712.0, 0.0020, 99.54
BP-02P0, 713.0, 0.0020, 99.55
BP-02P0, 714.0, 0.0020, 99.55
BP-02P0, 715.0, 0.0019, 99.56
BP-02P0, 716.0, 0.0020, 99.55
BP-02P0, 717.0, 0.0019, 99.56
BP-02P0, 718.0, 0.0019, 99.56
BP-02P0, 719.0, 0.0019, 99.56
BP-02P0, 720.0, 0.0019, 99.57
BP-02P0, 721.0, 0.0018, 99.59
BP-02P0, 722.0, 0.0018, 99.60
BP-02P0, 723.0, 0.0018, 99.58
BP-02P0, 724.0, 0.0018, 99.58
BP-02P0, 725.0, 0.0019, 99.57
BP-02P0, 726.0, 0.0018, 99.59
BP-02P0, 727.0, 0.0018, 99.59
BP-02P0, 728.0, 0.0018, 99.59
BP-02P0, 729.0, 0.0017, 99.61
BP-02P0, 730.0, 0.0017, 99.60
BP-02P0, 731.0, 0.0017, 99.62
BP-02P0, 732.0, 0.0017, 99.62
BP-02P0, 733.0, 0.0016, 99.63
BP-02P0, 734.0, 0.0016, 99.63
BP-02P0, 735.0, 0.0017, 99.62
BP-02P0, 736.0, 0.0016, 99.62
BP-02P0, 737.0, 0.0016, 99.62
BP-02P0, 738.0, 0.0016, 99.62
BP-02P0, 739.0, 0.0017, 99.61
BP-02P0, 740.0, 0.0017, 99.62
BP-02P0, 741.0, 0.0017, 99.62
BP-02P0, 742.0, 0.0017, 99.62
BP-02P0, 743.0, 0.0016, 99.64
BP-02P0, 744.0, 0.0016, 99.64
BP-02P0, 745.0, 0.0016, 99.64
BP-02P0, 746.0, 0.0016, 99.64
BP-02P0, 747.0, 0.0015, 99.65
BP-02P0, 748.0, 0.0015, 99.65
BP-02P0, 749.0, 0.0016, 99.64
BP-02P0, 750.0, 0.0015, 99.66
BP-02P0, 751.0, 0.0015, 99.66
BP-02P0, 752.0, 0.0016, 99.64
BP-02P0, 753.0, 0.0015, 99.66
BP-02P0, 754.0, 0.0016, 99.64
BP-02P0, 755.0, 0.0015, 99.65
BP-02P0, 756.0, 0.0015, 99.65
BP-02P0, 757.0, 0.0015, 99.65
BP-02P0, 758.0, 0.0015, 99.65
BP-02P0, 759.0, 0.0016, 99.64
BP-02P0, 760.0, 0.0016, 99.64
BP-02P0, 761.0, 0.0015, 99.65
BP-02P0, 762.0, 0.0015, 99.66
BP-02P0, 763.0, 0.0015, 99.66
BP-02P0, 764.0, 0.0016, 99.63
BP-02P0, 765.0, 0.0015, 99.66
BP-02P0, 766.0, 0.0015, 99.65
BP-02P0, 767.0, 0.0015, 99.66
BP-02P0, 768.0, 0.0015, 99.67
BP-02P0, 769.0, 0.0015, 99.66
BP-02P0, 770.0, 0.0014, 99.67
BP-02P0, 771.0, 0.0015, 99.66
BP-02P0, 772.0, 0.0014, 99.67
BP-02P0, 773.0, 0.0014, 99.68
BP-02P0, 774.0, 0.0013, 99.69
BP-02P0, 775.0, 0.0012, 99.72
BP-02P0, 776.0, 0.0013, 99.70
BP-02P0, 777.0, 0.0013, 99.70
BP-02P0, 778.0, 0.0012, 99.72
BP-02P0, 779.0, 0.0013, 99.70
BP-02P0, 780.0, 0.0012, 99.71
BP-02P0, 781.0, 0.0013, 99.71
BP-02P0, 782.0, 0.0013, 99.70
BP-02P0, 783.0, 0.0012, 99.72
BP-02P0, 784.0, 0.0012, 99.72
BP-02P0, 785.0, 0.0013, 99.71
BP-02P0, 786.0, 0.0013, 99.70
BP-02P0, 787.0, 0.0013, 99.70
BP-02P0, 788.0, 0.0013, 99.70
BP-02P0, 789.0, 0.0013, 99.69
BP-02P0, 790.0, 0.0013, 99.70
BP-02P0, 791.0, 0.0013, 99.70
BP-02P0, 792.0, 0.0013, 99.70
BP-02P0, 793.0, 0.0013, 99.70
BP-02P0, 794.0, 0.0013, 99.71
BP-02P0, 795.0, 0.0012, 99.72
BP-02P0, 796.0, 0.0012, 99.72
BP-02P0, 797.0, 0.0012, 99.72
BP-02P0, 798.0, 0.0013, 99.70
BP-02P0, 799.0, 0.0013, 99.71
BP-02P0, 800.0, 0.0012, 99.72
BP-02P0, 801.0, 0.0012, 99.73
BP-02P0, 802.0, 0.0012, 99.72
BP-02P0, 803.0, 0.0011, 99.74
BP-02P0, 804.0, 0.0011, 99.74
BP-02P0, 805.0, 0.0011, 99.75
BP-02P0, 806.0, 0.0011, 99.75
BP-02P0, 807.0, 0.0011, 99.75
BP-02P0, 808.0, 0.0011, 99.74
BP-02P0, 809.0, 0.0011, 99.75
BP-02P0, 810.0, 0.0011, 99.74
BP-02P0, 811.0, 0.0010, 99.77
BP-02P0, 812.0, 0.0010, 99.76
BP-02P0, 813.0, 0.0012, 99.73
BP-02P0, 814.0, 0.0011, 99.75
BP-02P0, 815.0, 0.0012, 99.73
BP-02P0, 816.0, 0.0012, 99.73
BP-02P0, 817.0, 0.0012, 99.73
BP-02P0, 818.0, 0.0012, 99.73
BP-02P0, 819.0, 0.0011, 99.74
BP-02P0, 820.0, 0.0012, 99.73
BP-02P0, 821.0, 0.0011, 99.75
BP-02P0, 822.0, 0.0011, 99.75
BP-02P0, 823.0, 0.0011, 99.75
BP-02P0, 824.0, 0.0010, 99.76
BP-02P0, 825.0, 0.0011, 99.75
BP-02P0, 826.0, 0.0010, 99.76
BP-02P0, 827.0, 0.0010, 99.76
BP-02P0, 828.0, 0.0010, 99.76
BP-02P0, 829.0, 0.0010, 99.77
BP-02P0, 830.0, 0.0010, 99.76
BP-02P0, 831.0, 0.0010, 99.77
BP-02P0, 832.0, 0.0010, 99.77
BP-02P0, 833.0, 0.0011, 99.74
BP-02P0, 834.0, 0.0011, 99.75
BP-02P0, 835.0, 0.0011, 99.74
BP-02P0, 836.0, 0.0011, 99.75
BP-02P0, 837.0, 0.0010, 99.76
BP-02P0, 838.0, 0.0011, 99.76
BP-02P0, 839.0, 0.0010, 99.76
BP-02P0, 840.0, 0.0010, 99.77
BP-02P0, 841.0, 0.0010, 99.76
BP-02P0, 842.0, 0.0009, 99.78
BP-02P0, 843.0, 0.0010, 99.76
BP-02P0, 844.0, 0.0010, 99.77
BP-02P0, 845.0, 0.0011, 99.76
BP-02P0, 846.0, 0.0010, 99.78
BP-02P0, 847.0, 0.0010, 99.78
BP-02P0, 848.0, 0.0010, 99.77
BP-02P0, 849.0, 0.0010, 99.77
BP-02P0, 850.0, 0.0010, 99.76
