RO-01P0, Time, 2017/07/12 05:20:08
RO-01P0, Operator, Smith 
RO-01P0, Lamp, 255 
RO-01P0, Slit,0.0  
RO-01P0, Scan From, 850.0nm
RO-01P0, Scan To, 390.0nm
RO-01P0, Scan Step, 1.0nm
RO-01P0, Sample Filter, 11
RO-01P0, memo,  
RO-01P0, WL(nm), Abs, T%
RO-01P0, 390.0, -0.0002, 100.05
RO-01P0, 391.0, -0.0002, 100.06
RO-01P0, 392.0, -0.0002, 100.06
RO-01P0, 393.0, -0.0003, 100.06
RO-01P0, 394.0, -0.0002, 100.05
RO-01P0, 395.0, -0.0003, 100.07
RO-01P0, 396.0, -0.0003, 100.06
RO-01P0, 397.0, -0.0002, 100.05
RO-01P0, 398.0, -0.0003, 100.07
RO-01P0, 399.0, -0.0002, 100.05
RO-01P0, 400.0, -0.0002, 100.05
RO-01P0, 401.0, -0.0003, 100.07
RO-01P0, 402.0, -0.0003, 100.06
RO-01P0, 403.0, -0.0003, 100.07
RO-01P0, 404.0, -0.0003, 100.06
RO-01P0, 405.0, -0.0003, 100.06
RO-01P0, 406.0, -0.0003, 100.08
RO-01P0, 407.0, -0.0004, 100.08
RO-01P0, 408.0, -0.0004, 100.09
RO-01P0, 409.0, -0.0003, 100.07
RO-01P0, 410.0, -0.0003, 100.08
RO-01P0, 411.0, -0.0003, 100.07
RO-01P0, 412.0, -0.0003, 100.07
RO-01P0, 413.0, -0.0003, 100.06
RO-01P0, 414.0, -0.0002, 100.05
RO-01P0, 415.0, -0.0002, 100.05
RO-01P0, 416.0, -0.0003, 100.07
RO-01P0, 417.0, -0.0003, 100.06
RO-01P0, 418.0, -0.0003, 100.06
RO-01P0, 419.0, -0.0002, 100.04
RO-01P0, 420.0, -0.0002, 100.05
RO-01P0, 421.0, -0.0002, 100.04
RO-01P0, 422.0, -0.0001, 100.03
RO-01P0, 423.0, -0.0002, 100.05
RO-01P0, 424.0, -0.0002, 100.04
RO-01P0, 425.0, -0.0002, 100.05
RO-01P0, 426.0, -0.0002, 100.04
RO-01P0, 427.0, -0.0002, 100.05
RO-01P0, 428.0, -0.0002, 100.05
RO-01P0, 429.0, -0.0002, 100.05
RO-01P0, 430.0, -0.0003, 100.06
RO-01P0, 431.0, -0.0003, 100.06
RO-01P0, 432.0, -0.0003, 100.06
RO-01P0, 433.0, -0.0003, 100.06
RO-01P0, 434.0, -0.0004, 100.09
RO-01P0, 435.0, -0.0004, 100.08
RO-01P0, 436.0, -0.0003, 100.08
RO-01P0, 437.0, -0.0003, 100.07
RO-01P0, 438.0, -0.0002, 100.05
RO-01P0, 439.0, -0.0002, 100.05
RO-01P0, 440.0, -0.0002, 100.05
RO-01P0, 441.0, -0.0001, 100.03
RO-01P0, 442.0, -0.0002, 100.04
RO-01P0, 443.0, -0.0002, 100.04
RO-01P0, 444.0, -0.0002, 100.04
RO-01P0, 445.0, -0.0001, 100.03
RO-01P0, 446.0, -0.0001, 100.03
RO-01P0, 447.0, -0.0002, 100.06
RO-01P0, 448.0, -0.0002, 100.04
RO-01P0, 449.0, -0.0003, 100.07
RO-01P0, 450.0, -0.0002, 100.05
RO-01P0, 451.0, -0.0002, 100.05
RO-01P0, 452.0, -0.0002, 100.04
RO-01P0, 453.0, -0.0003, 100.06
RO-01P0, 454.0, -0.0002, 100.05
RO-01P0, 455.0, -0.0003, 100.06
RO-01P0, 456.0, -0.0002, 100.05
RO-01P0, 457.0, -0.0002, 100.05
RO-01P0, 458.0, -0.0002, 100.05
RO-01P0, 459.0, -0.0001, 100.03
RO-01P0, 460.0, -0.0002, 100.06
RO-01P0, 461.0, -0.0002, 100.05
RO-01P0, 462.0, -0.0002, 100.05
RO-01P0, 463.0, -0.0003, 100.06
RO-01P0, 464.0, -0.0002, 100.05
RO-01P0, 465.0, -0.0002, 100.06
RO-01P0, 466.0, -0.0002, 100.04
RO-01P0, 467.0, -0.0003, 100.06
RO-01P0, 468.0, -0.0002, 100.04
RO-01P0, 469.0, -0.0001, 100.02
RO-01P0, 470.0, -0.0002, 100.04
RO-01P0, 471.0, -0.0001, 100.03
RO-01P0, 472.0, -0.0001, 100.03
RO-01P0, 473.0, -0.0002, 100.04
RO-01P0, 474.0, -0.0001, 100.03
RO-01P0, 475.0, -0.0002, 100.04
RO-01P0, 476.0, -0.0002, 100.04
RO-01P0, 477.0, -0.0002, 100.04
RO-01P0, 478.0, -0.0002, 100.04
RO-01P0, 479.0, -0.0002, 100.04
RO-01P0, 480.0, -0.0002, 100.04
RO-01P0, 481.0, -0.0001, 100.03
RO-01P0, 482.0, -0.0001, 100.03
RO-01P0, 483.0, -0.0002, 100.04
RO-01P0, 484.0, -0.0002, 100.04
RO-01P0, 485.0, -0.0002, 100.05
RO-01P0, 486.0, -0.0002, 100.04
RO-01P0, 487.0, -0.0002, 100.04
RO-01P0, 488.0, -0.0001, 100.03
RO-01P0, 489.0, -0.0001, 100.03
RO-01P0, 490.0, -0.0002, 100.04
RO-01P0, 491.0, -0.0002, 100.04
RO-01P0, 492.0, -0.0001, 100.03
RO-01P0, 493.0, -0.0002, 100.03
RO-01P0, 494.0, -0.0002, 100.05
RO-01P0, 495.0, -0.0002, 100.04
RO-01P0, 496.0, -0.0002, 100.04
RO-01P0, 497.0, -0.0001, 100.03
RO-01P0, 498.0, -0.0001, 100.02
RO-01P0, 499.0, -0.0002, 100.04
RO-01P0, 500.0, -0.0001, 100.02
RO-01P0, 501.0, -0.0002, 100.04
RO-01P0, 502.0, -0.0001, 100.03
RO-01P0, 503.0, -0.0002, 100.04
RO-01P0, 504.0, -0.0001, 100.03
RO-01P0, 505.0, -0.0002, 100.03
RO-01P0, 506.0, -0.0001, 100.01
RO-01P0, 507.0, -0.0001, 100.02
RO-01P0, 508.0, -0.0001, 100.03
RO-01P0, 509.0, -0.0001, 100.03
RO-01P0, 510.0, -0.0001, 100.02
RO-01P0, 511.0, -0.0001, 100.03
RO-01P0, 512.0, -0.0001, 100.02
